細學類名稱,系所數量
企業管理細學類,250
電機與電子工程細學類,230
其他商業及管理細學類,176
旅遊觀光細學類,160
機械工程細學類,156
外國語文細學類,145
資訊技術細學類,144
遊憩、運動和休閒管理細學類,133
綜合設計細學類,121
旅館及餐飲細學類,98
財務金融細學類,90
視覺傳達設計細學類,88
生物科技細學類,86
綜合教育細學類,80
土木工程細學類,75
工業工程細學類,73
美髮美容服務細學類,72
公共行政細學類,66
醫學細學類,65
專業科目師資教育細學類,61
老年照顧服務細學類,58
化學工程細學類,58
環境工程細學類,54
材料工程細學類,54
心理學細學類,54
醫學技術及檢驗細學類,53
普通科目師資教育細學類,51
中國語文細學類,51
國際貿易細學類,49
其他人文細學類,49
行銷及廣告細學類,48
食品科學細學類,47
產品設計細學類,47
區域研究細學類,46
護理及助產細學類,46
公共衛生細學類,45
藥學細學類,43
電算機應用細學類,42
表演藝術細學類,42
流通及供應鏈細學類,42
純藝術細學類,39
視覺藝術細學類,39
建築細學類,38
生醫工程細學類,38
會計及稅務細學類,38
音樂細學類,37
醫療管理細學類,37
兒童及青少年照顧服務細學類,36
專業法律細學類,36
軟體開發細學類,36
社會工作細學類,36
營養細學類,35
社會學細學類,33
一般商業細學類,33
競技運動細學類,32
應用藝術細學類,30
教育行政細學類,29
牙醫細學類,29
綜合藝術細學類,29
大眾傳播細學類,29
能源工程細學類,28
傳播細學類,28
其他餐旅及民生服務細學類,28
經濟學細學類,28
環境資源細學類,27
其他社會及行為科學細學類,27
生物學細學類,26
化學細學類,25
地球科學及環境細學類,24
臺灣語文細學類,24
時尚設計與管理細學類,24
國際關係細學類,24
景觀設計細學類,23
空間設計細學類,23
宗教細學類,23
歷史細學類,22
課程與教學細學類,22
幼兒師資教育細學類,21
造船工程細學類,21
物理及應用物理細學類,20
統計細學類,20
數學細學類,20
其他醫藥衛生細學類,20
一般法律細學類,19
特殊教育細學類,19
其他物理、化學及地球科學細學類,19
農業經濟及推廣細學類,19
都巿規劃細學類,19
資料庫、網路設計及管理細學類,19
綜合工程細學類,19
航空工程細學類,19
發展研究細學類,18
運輸管理細學類,18
保險及風險管理細學類,18
政治學細學類,18
海洋科學細學類,17
其他細學類,17
河海工程細學類,17
美術工藝細學類,17
運動科技細學類,17
職業衛生及安全細學類,17
林業細學類,17
航海細學類,16
電腦運用細學類,16
傳統醫學、輔助醫學及治療細學類,16
航運管理細學類,15
畜牧生產細學類,15
系統設計細學類,14
教育科技細學類,14
財政細學類,14
華語文細學類,13
農作物生產細學類,13
獸醫細學類,13
人類學及民族學細學類,12
物理治療細學類,12
其他藝術細學類,12
地理學細學類,12
圖書資訊檔案細學類,12
園藝細學類,11
其他農業細學類,11
植物保護細學類,11
水產養殖細學類,11
其他資訊通訊科技細學類,11
其他教育細學類,11
電子媒體細學類,11
翻譯細學類,11
其他工程及工程業細學類,10
哲學細學類,10
成人教育細學類,10
藝術行政細學類,10
家政服務細學類,9
其他生命科學細學類,9
生物化學細學類,9
技職教育細學類,9
生物訊息及遺傳細學類,9
車輛工程細學類,9
漁業科學細學類,9
其他數學及統計細學類,9
大氣及太空科學細學類,8
警政細學類,7
其他治療及復健細學類,7
紡織工程細學類,7
其他語文細學類,7
農業化學細學類,6
職能治療細學類,6
農業生物技術細學類,6
水土保持細學類,6
語言治療與聽力細學類,6
空運管理細學類,6
新聞細學類,5
華語文為第二語言細學類,5
其他社會福利細學類,5
生態細學類,5
微生物細學類,5
公共關係細學類,5
天文細學類,4
空間資訊及測繪細學類,4
教育測驗評量細學類,3
失能者照顧細學類,3
其他運輸服務細學類,3
採礦及提煉細學類,3
雕塑細學類,2
其他環境細學類,2
核子工程細學類,2
博物館細學類,1
其他建築及營建工程細學類,1
環境防災細學類,1
批發及零售細學類,1
自然環境及野生動物細學類,1
